OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
346844,232751341,10/2/2023 11:46:31 PM,10/2/2023 9:55:00 PM,10/2/2023 11:05:00 PM,Monday,2,5,502,197 15TH ST NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.3809,33.787889,Ansley Park,E,6,Part II,1,35c2e29d-db4e-41c4-a930-b42d2d16948f,-84.3808999999999,33.7878890000001
345780,232731009,10/2/2023 11:47:09 PM,9/30/2023 5:37:00 PM,9/30/2023 5:37:00 PM,Saturday,7,5,510,209 PEACHTREE ST NE,Other/Unknown,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Day Watch,-84.387461,33.759579,Downtown,M,2,Part II,1,1652fcf1-1bb3-4580-b825-b0808c75bc76,-84.387461,33.759579
346280,232751338,10/2/2023 11:55:01 PM,9/30/2023 12:30:00 PM,10/3/2023 12:15:00 AM,Saturday,7,1,104,1532 MOZLEY PL SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Day Watch,-84.437615,33.750979,Mozley Park,K,4,Part I,1,83ea9865-6789-46b5-8ba5-5aca52e64d2f,-84.4376149999999,33.750979
346604,232751502,10/3/2023 12:27:07 AM,10/3/2023 12:31:00 AM,10/3/2023 12:31:00 AM,Monday,2,2,206,3161 MAPLE DR NE,Bar/ Nightclub,26B,Credit Card/Automated Teller Machine Fraud,PROPERTY,N,,,Evening Watch,-84.371869,33.841631,Buckhead Village,B,7,Part II,1,e27bc107-2b03-4a67-bdbf-edf68e90706b,-84.3718689999999,33.8416310000001
346281,232751618,10/3/2023 12:42:42 AM,10/3/2023 12:21:00 AM,,Monday,2,6,605,GRANT ST SE / MARTIN LUTHER KING JR DR SE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.376646,33.747421,Grant Park,W,5,Part II,1,270a2ec9-7279-427a-82c6-d3127fa7e5c4,-84.3766459999999,33.747421
346239,232751478,10/3/2023 12:53:47 AM,10/2/2023 11:18:00 PM,10/3/2023 12:53:00 AM,Monday,2,4,414,3136 GARDEN WALK SW,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Evening Watch,-84.514547,33.663956,Princeton Lakes,P,11,Part I,1,db5b179e-21e1-47a6-8ddf-c0cfe030cf7b,-84.5145469999999,33.663956
346240,232751619,10/3/2023 12:57:52 AM,10/1/2023 2:00:00 PM,10/3/2023 12:41:00 AM,Sunday,1,6,605,755 WOODSON ST SE,Highway/ Road/ Alley/ Street/ Sidewalk,240,Motor Vehicle Theft,PROPERTY,N,,,Day Watch,-84.379378,33.733913,Grant Park,W,1,Part I,1,cdb30b51-1f4d-4e46-b23d-3d5861dec8ef,-84.379378,33.733913
346241,232751662,10/3/2023 1:28:45 AM,10/3/2023 1:00:00 AM,10/3/2023 1:10:00 AM,Monday,2,1,103,1888 HOLLYWOOD RD NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.471609,33.807286,Riverside,D,9,Part II,1,352b3de3-18c9-4231-94f5-917302988ce9,-84.4716089999999,33.807286
346605,232751621,10/3/2023 1:38:18 AM,10/3/2023 12:41:00 AM,10/3/2023 1:15:00 AM,Monday,2,2,206,3097 MAPLE DR NE,Highway/ Road/ Alley/ Street/ Sidewalk,13B,Simple Assault,PERSON,N,,,Evening Watch,-84.371718,33.839644,Buckhead Village,B,7,Part II,1,7d11423f-797a-47a6-adba-ee1898155ee9,-84.371718,33.8396440000001
346641,232751682,10/3/2023 1:44:55 AM,10/2/2023 9:05:00 PM,10/3/2023 1:25:00 AM,Monday,2,2,211,711 COSMOPOLITAN DR NE,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.36206,33.820636,Lindbergh/Morosgo,B,6,Part II,1,ea7ad91f-5dee-4982-b288-ebcfb6c53f71,-84.36206,33.820636
